Keys,Definitions
a,final particle
abĕn,"trousers, skirt"
abĕn ao,clothes
"abêk, bongai abêk",person who laughs easily
abŏu,edible snail
abơk-abak,delirious 
achăng ,to set free
achīt,to prepare wood for lighting fire
achỗ,"a bundle of wood, rice"
achỡ,"mock, scorn"
achỡt,"to stop, prevent "
achŭt,to prepare wood for lighting fire
adar,slowly
adra,drying platform over fire
adrang,chicken coop
adrch,"seed rice, ancestral line"
adreng,"fry, cook without water"
adrih,"alive (plant life), raw, unripe"
adrin,"to strive, persevere"
adrin-adrai,to strive even though not expected to
adro,"widow, widower; cicada "
adroch,edible grass-like leaf
adrok,the skin that a snake sheds
adrol,"before, in front of, first"
adron,animal shed
adrŏ,"to wiggle, squirm, shake "
adrŏ tơdrenh,many objects shaking
"adrŏk, kưt adrŏk",toad
adrỗ,alone
adrŏm,evening
adruh,"young unmarried lady, girl"
adruh tơdăm,young people (girls and boys)
adrŭ,to shake in container
agăm,can not marry each other because related
agor,"shinny up tree, cross water on rope"
agŏu,to meet together
aguăt,centipede 
ah (no initial glottal) ,final question particle
ahrei,"now, these days"
ai ,"lucky, fortunate, also meaning of strength, authority in some mystical sense"
"ai, măk ai","fault, responsibility"
măk ai kơ ih,it will be your fault
aĭ,to be equal
aī,vocative in final position
ajar,a forest plant which has edible flowers
ak,crow
"akâu, akŏu",body
akap,mouse trap
akar,skin 
akăn ,wife 
ake ,horn (animal)
akhan,"to tell, to teach"
akhoi,prevent 
ako ,neck
"akoh, akoh sut",honey-thick yellow stage
"akŏm, akŭm","to meet together, to gather things"
akôih,"to shave, to scrape"
akơn,pillow
akơn,to lean on
akơng,leaf stem and main vein running up middle of leaf 
ala ,"under, beneath "
alah,ouch 
alah,lazy
amăn,spend only a little
ameng,to sit in one place working away
amǐl,"glass, mirror"
amǐk,continually 
amră,peacock
amrĕ,red pepper
amrĕ nô,"type of red pepper, large and not so hot "
amrĕl,words of someone insisting they can do something but they can't
"anai, nai","different, another"
anaǐ,to think mistakenly 
anam ,necklace of beads
anat,difficult
anăn,name
anăp,in front of 
sơnăm anăp,next year
anễ,in the middle
anih,place
ano,to give oneself a name meaning strong
anong,to carry by pole on shoulder
anỗ,to go
anul,"to play, tease"
anŭng,a package
and,"glory, famous, report"
anglaī-anglaī,dangerous things
anglop,sheath for sword
angỡm,"headband, to put on headband"
anhăk,"to carry along, bring"
anhok,"to choke with string, rope"
anhŭn,hammock
ao,"shirt, blouse "
"apa, apo apa",to dream of something that happened during the day
apah,"to pay wages, to reward"
apĩnh,"ask for, beg for"
apo,to dream
apoh,to communicate a disease
apôm,"round, roundish"
apơi,"to wish, beseech"
apŭng,section area
arah,bedbug
arăk,"crisp, brittle, hard"
arăng,hard (material)
arăng grăng,"well, having no illness"
areh,to hate
areh,a type of tree
arih,to live
aroh,type of tree with fruit used to trap birds
arỡp-arăp,bad backache
arum,roar of tiger
asai,to fish with rod
aseh,horse
asêu,sound of sneeze
asi,chirp of bird
asong,"to divide, distribute"
asu,to cover oneself with a blanket
ataih,far
ataih yaih,very far
ată,"give authority, request, accuse"
atăng,to hang up - as a banner
atăr,strap of basket 
ate ,type of gruel eaten with rest of meal-meat and bamboo sprouts
"athay, athei","to command, order "
athĕn,"to command, order"
atol,to hang
atop ,to roll up in
atŏ,equal
atŏk,to lift something up
atŏl,stalk of bananas
atŏng,stem 
"atâu, atŏu","ghost, corpse"
atỡm,to fasten thatch to roof frame 
"atỡng ,  'long atỡng",sticks used as frame in weaving
atŭch,"to fall short of the mark, to move backward"
awan,section of bamboo
awăt,type of bird living on ground
"awih, awih-awăn","to serve, help "
ayăt,"trouble, unrest, dislike "
bơngai ayăt,enemy 
ayeh,compassionate
ayĕl,sing
ayor,of a smell to permeate
ayơ,"where, which"
ăl,intensifier 
ăn,give 
ăt,a yoke
ba,1st person dual inclusive 
ba,"to take along with, go along with "
bah,"downriver, south"
"bah, dak bah",flowing water with debris in it
bah,"wash, wipe with water"
Bahnar,Bahnar
bai,small bamboo basket
bal ,harlot 
bang ,see clearly
bă,spoon
băk,nighthawk
