X,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Keys
0,final particle,7,7_particle_question_final_marker,"['particle', 'question', 'final', 'marker', 'huh', 'bell', 'strange', 'size', 'sedang', 'tomb']","['huh? question particle', 'final question particle ', 'final question particle']",particle - question - final - marker - huh - bell - strange - size - sedang - tomb,FALSE,a
1,"trousers, skirt",16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,abĕn
2,clothes,6,6_large_pile_intensifier_garden,"['large', 'pile', 'intensifier', 'garden', 'stream', 'area', 'flat', 'river', 'cover', 'paper']","['large pile  ', 'a large pile', 'to be wide cover large area']",large - pile - intensifier - garden - stream - area - flat - river - cover - paper,FALSE,abĕn ao
3,person who laughs easily,27,27_person_afraid_expression_bad,"['person', 'afraid', 'expression', 'bad', 'people', 'who', 'sad', 'shy', 'tempered', 'many']","['bad-mannered, bad-tempered, mean--male only', 'to make one person angry at another by saying the other person said bad things about him', 'to be afraid continually, person who is always afraid ']",person - afraid - expression - bad - people - who - sad - shy - tempered - many,FALSE,"abêk, bongai abêk"
4,edible snail,30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,abŏu
5,delirious,31,31_dark_light_night_morning,"['dark', 'light', 'night', 'morning', 'happened', 'shine', 'fire', 'become', 'really', 'tired']","['to light a fire', 'to light a fire ', 'of sun to be gone down light out and so dark']",dark - light - night - morning - happened - shine - fire - become - really - tired,FALSE,abơk-abak
6,to set free,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,achăng
7,to prepare wood for lighting fire,24,24_water_wash_fire_clean,"['water', 'wash', 'fire', 'clean', 'stomach', 'boil', 'pour', 'into', 'grow', 'to']","['to run through hair to wash it or dry it', 'to fade, wash out, become clean ', 'wash, wipe with water']",water - wash - fire - clean - stomach - boil - pour - into - grow - to,FALSE,achīt
8,"a bundle of wood, rice",23,23_rice_cooked_food_jar,"['rice', 'cooked', 'food', 'jar', 'grains', 'cook', 'wine', 'grain', 'unhusked', 'used']","['cooked rice', 'type of rice', 'cooked rice']",rice - cooked - food - jar - grains - cook - wine - grain - unhusked - used,FALSE,achỗ
9,"mock, scorn",9,9_law_people_person_mother,"['law', 'people', 'person', 'mother', 'father', 'polite', 'dual', 'daughter', 'friend', '1st']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'father-in-law, mother-in-law', 'close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter ']",law - people - person - mother - father - polite - dual - daughter - friend - 1st,FALSE,achỡ
10,"to stop, prevent ",10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,achỡt
11,to prepare wood for lighting fire,24,24_water_wash_fire_clean,"['water', 'wash', 'fire', 'clean', 'stomach', 'boil', 'pour', 'into', 'grow', 'to']","['to run through hair to wash it or dry it', 'to fade, wash out, become clean ', 'wash, wipe with water']",water - wash - fire - clean - stomach - boil - pour - into - grow - to,FALSE,achŭt
12,slowly,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,adar
13,drying platform over fire,24,24_water_wash_fire_clean,"['water', 'wash', 'fire', 'clean', 'stomach', 'boil', 'pour', 'into', 'grow', 'to']","['to run through hair to wash it or dry it', 'to fade, wash out, become clean ', 'wash, wipe with water']",water - wash - fire - clean - stomach - boil - pour - into - grow - to,FALSE,adra
14,chicken coop,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,adrang
15,"seed rice, ancestral line",30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,adrch
16,"fry, cook without water",24,24_water_wash_fire_clean,"['water', 'wash', 'fire', 'clean', 'stomach', 'boil', 'pour', 'into', 'grow', 'to']","['to run through hair to wash it or dry it', 'to fade, wash out, become clean ', 'wash, wipe with water']",water - wash - fire - clean - stomach - boil - pour - into - grow - to,FALSE,adreng
17,"alive (plant life), raw, unripe",14,14_intensive_wine_delicious_form,"['intensive', 'wine', 'delicious', 'form', 'ripe', 'beautiful', 'cleaned', 'kidneys', 'potions', 'healthy']","['wine', 'type of wine jar which is the most expensive and has a spirit associated with it', 'good beautiful delicious healthy ']",intensive - wine - delicious - form - ripe - beautiful - cleaned - kidneys - potions - healthy,FALSE,adrih
18,"to strive, persevere",22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,adrin
19,to strive even though not expected to,12,12_angry_be_lie_do,"['angry', 'be', 'lie', 'do', 'to', 'speak', 'verb', 'threaten', 'someone', 'for']","['to be angry ', 'to not be angry at', 'to be angry']",angry - be - lie - do - to - speak - verb - threaten - someone - for,FALSE,adrin-adrai
20,"widow, widower; cicada ",9,9_law_people_person_mother,"['law', 'people', 'person', 'mother', 'father', 'polite', 'dual', 'daughter', 'friend', '1st']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'father-in-law, mother-in-law', 'close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter ']",law - people - person - mother - father - polite - dual - daughter - friend - 1st,FALSE,adro
21,edible grass-like leaf,30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,adroch
22,the skin that a snake sheds,40,40_that_type_lives_poisonous,"['that', 'type', 'lives', 'poisonous', 'fish', 'frog', 'edible', 'snake', 'insect', 'is']","['type of snake, worm that lives in water and can burrow easily', 'small frog that lives in the water ', 'a type of bee-like insect that is very small, its honey and offspring are edible']",that - type - lives - poisonous - fish - frog - edible - snake - insect - is,FALSE,adrok
23,"before, in front of, first",11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,adrol
24,animal shed,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,adron
25,"to wiggle, squirm, shake ",36,36_throw_shake_feel_choke,"['throw', 'shake', 'feel', 'choke', 'suck', 'touch', 'to', 'when', 'mouth', 'dive']","['to throw', 'to throw out', 'may also have the idea of throw away especially when preceded by words meaning to throw out ']",throw - shake - feel - choke - suck - touch - to - when - mouth - dive,FALSE,adrŏ
26,many objects shaking,44,44_noise_sound_something_falling,"['noise', 'sound', 'something', 'falling', 'ground', 'of', 'shaking', 'hitting', 'describe', 'on']","['noise of pulling something large on ground', 'noise and movement of something large falling', 'noise of something large falling']",noise - sound - something - falling - ground - of - shaking - hitting - describe - on,FALSE,adrŏ tơdrenh
27,toad,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,"adrŏk, kưt adrŏk"
28,alone,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,adrỗ
29,evening,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,adrŏm
30,"young unmarried lady, girl",9,9_law_people_person_mother,"['law', 'people', 'person', 'mother', 'father', 'polite', 'dual', 'daughter', 'friend', '1st']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'father-in-law, mother-in-law', 'close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter ']",law - people - person - mother - father - polite - dual - daughter - friend - 1st,FALSE,adruh
31,young people (girls and boys),9,9_law_people_person_mother,"['law', 'people', 'person', 'mother', 'father', 'polite', 'dual', 'daughter', 'friend', '1st']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'father-in-law, mother-in-law', 'close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter ']",law - people - person - mother - father - polite - dual - daughter - friend - 1st,FALSE,adruh tơdăm
32,to shake in container,24,24_water_wash_fire_clean,"['water', 'wash', 'fire', 'clean', 'stomach', 'boil', 'pour', 'into', 'grow', 'to']","['to run through hair to wash it or dry it', 'to fade, wash out, become clean ', 'wash, wipe with water']",water - wash - fire - clean - stomach - boil - pour - into - grow - to,FALSE,adrŭ
33,can not marry each other because related,9,9_law_people_person_mother,"['law', 'people', 'person', 'mother', 'father', 'polite', 'dual', 'daughter', 'friend', '1st']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'father-in-law, mother-in-law', 'close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter ']",law - people - person - mother - father - polite - dual - daughter - friend - 1st,FALSE,agăm
34,"shinny up tree, cross water on rope",33,33_weaving_rope_thread_instrument,"['weaving', 'rope', 'thread', 'instrument', 'ladder', 'cut', 'string', 'knife', 'cord', 'in']","['an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving', 'instrument used to keep thread close together in weaving']",weaving - rope - thread - instrument - ladder - cut - string - knife - cord - in,FALSE,agor
35,to meet together,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,agŏu
36,centipede,21,21_basket_tree_hut_sword,"['basket', 'tree', 'hut', 'sword', 'centipede', 'calf', 'rod', 'trees', 'back', 'trunk']","['the top part of a tree; the ending of a story (as opposed to trunk of tree or in abstract form beginning) ', 'small back basket ', 'small back basket']",basket - tree - hut - sword - centipede - calf - rod - trees - back - trunk,FALSE,aguăt
37,final question particle,7,7_particle_question_final_marker,"['particle', 'question', 'final', 'marker', 'huh', 'bell', 'strange', 'size', 'sedang', 'tomb']","['huh? question particle', 'final question particle ', 'final question particle']",particle - question - final - marker - huh - bell - strange - size - sedang - tomb,TRUE,ah (no initial glottal)
38,"now, these days",0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,ahrei
