name,id,group,size,node_name
a,0,7,1,final particle
abĕn,1,16,1,"trousers, skirt"
abĕn ao,2,6,1,clothes
"abêk, bongai abêk",3,27,1,person who laughs easily
abŏu,4,30,1,edible snail
abơk-abak,5,31,1,delirious
achăng,6,11,1,to set free
achīt,7,24,1,to prepare wood for lighting fire
achỗ,8,23,1,"a bundle of wood, rice"
achỡ,9,9,1,"mock, scorn"
achỡt,10,10,1,"to stop, prevent "
achŭt,11,24,1,to prepare wood for lighting fire
adar,12,0,1,slowly
adra,13,24,1,drying platform over fire
adrang,14,3,1,chicken coop
adrch,15,30,1,"seed rice, ancestral line"
adreng,16,24,1,"fry, cook without water"
adrih,17,14,1,"alive (plant life), raw, unripe"
adrin,18,22,1,"to strive, persevere"
adrin-adrai,19,12,1,to strive even though not expected to
adro,20,9,1,"widow, widower; cicada "
adroch,21,30,1,edible grass-like leaf
adrok,22,40,1,the skin that a snake sheds
adrol,23,11,1,"before, in front of, first"
adron,24,5,1,animal shed
adrŏ,25,36,1,"to wiggle, squirm, shake "
adrŏ tơdrenh,26,44,1,many objects shaking
"adrŏk, kưt adrŏk",27,3,1,toad
adrỗ,28,0,1,alone
adrŏm,29,0,1,evening
adruh,30,9,1,"young unmarried lady, girl"
adruh tơdăm,31,9,1,young people (girls and boys)
adrŭ,32,24,1,to shake in container
agăm,33,9,1,can not marry each other because related
agor,34,33,1,"shinny up tree, cross water on rope"
agŏu,35,11,1,to meet together
aguăt,36,21,1,centipede
ah (no initial glottal),37,7,1,final question particle
ahrei,38,0,1,"now, these days"
ai,39,12,1,"lucky, fortunate, also meaning of strength, authority in some mystical sense"
"ai, măk ai",40,8,1,"fault, responsibility"
măk ai kơ ih,41,8,1,it will be your fault
aĭ,42,11,1,to be equal
aī,43,17,1,vocative in final position
ajar,44,30,1,a forest plant which has edible flowers
ak,45,3,1,crow
"akâu, akŏu",46,8,1,body
akap,47,17,1,mouse trap
akar,48,6,1,skin
akăn,49,9,1,wife
ake,50,5,1,horn (animal)
akhan,51,22,1,"to tell, to teach"
akhoi,52,2,1,prevent
ako,53,17,1,neck
"akoh, akoh sut",54,39,1,honey-thick yellow stage
"akŏm, akŭm",55,22,1,"to meet together, to gather things"
akôih,56,47,1,"to shave, to scrape"
akơn,57,35,1,pillow/to lean on
akơng,58,25,1,leaf stem and main vein running up middle of leaf
ala,59,16,1,"under, beneath "
alah,60,0,1,ouch/lazy
amăn,61,20,1,spend only a little
ameng,62,10,1,to sit in one place working away
amǐl,63,16,1,"glass, mirror"
amǐk,64,0,1,continually
amră,65,3,1,peacock
amrĕ,66,14,1,red pepper
amrĕ nô,67,14,1,"type of red pepper, large and not so hot "
amrĕl,68,12,1,words of someone insisting they can do something but they can't
"anai, nai",69,4,1,"different, another"
anaǐ,70,9,1,to think mistakenly
anam,71,21,1,necklace of beads
anat,72,1,1,difficult
anăn,73,3,1,name
anăp,74,16,1,in front of
sơnăm anăp,75,4,1,next year
anễ,76,1,1,in the middle
anih,77,1,1,place
ano,78,12,1,to give oneself a name meaning strong
anong,79,33,1,to carry by pole on shoulder
anỗ,80,11,1,to go
anul,81,22,1,"to play, tease"
anŭng,82,4,1,a package
and,83,0,1,"glory, famous, report"
anglaī-anglaī,84,26,1,dangerous things
anglop,85,21,1,sheath for sword
angỡm,86,28,1,"headband, to put on headband"
anhăk,87,22,1,"to carry along, bring"
anhok,88,32,1,"to choke with string, rope"
anhŭn,89,3,1,hammock
ao,90,16,1,"shirt, blouse "
"apa, apo apa",91,31,1,to dream of something that happened during the day
apah,92,20,1,"to pay wages, to reward"
apĩnh,93,20,1,"ask for, beg for"
apo,94,2,1,to dream
apoh,95,27,1,to communicate a disease
apôm,96,16,1,"round, roundish"
apơi,97,20,1,"to wish, beseech"
apŭng,98,16,1,section area
arah,99,35,1,bedbug
arăk,100,19,1,"crisp, brittle, hard"
arăng,101,6,1,hard (material)
arăng grăng,102,31,1,"well, having no illness"
areh,103,2,1,to hate/a type of tree
arih,104,20,1,to live
aroh,105,30,1,type of tree with fruit used to trap birds
arỡp-arăp,106,19,1,bad backache
arum,107,45,1,roar of tiger
asai,108,21,1,to fish with rod
aseh,109,3,1,horse
asêu,110,49,1,sound of sneeze
asi,111,5,1,chirp of bird
asong,112,37,1,"to divide, distribute"
asu,113,36,1,to cover oneself with a blanket
ataih,114,1,1,far
ataih yaih,115,0,1,very far
ată,116,9,1,"give authority, request, accuse"
atăng,117,28,1,to hang up - as a banner
atăr,118,33,1,strap of basket
ate,119,30,1,type of gruel eaten with rest of meal-meat and bamboo sprouts
"athay, athei",120,11,1,"to command, order "
athĕn,121,11,1,"to command, order"
atol,122,28,1,to hang
atop,123,37,1,to roll up in
atŏ,124,1,1,equal
atŏk,125,13,1,to lift something up
atŏl,126,30,1,stalk of bananas
atŏng,127,21,1,stem
"atâu, atŏu",128,26,1,"ghost, corpse"
atỡm,129,18,1,to fasten thatch to roof frame
"atỡng ,  'long atỡng",130,33,1,sticks used as frame in weaving
atŭch,131,28,1,"to fall short of the mark, to move backward"
awan,132,15,1,section of bamboo
awăt,133,5,1,type of bird living on ground
"awih, awih-awăn",134,20,1,"to serve, help "
ayăt,135,31,1,"trouble, unrest, dislike "
bơngai ayăt,136,26,1,enemy
ayeh,137,9,1,compassionate
ayĕl,138,8,1,sing
ayor,139,48,1,of a smell to permeate
ayơ,140,4,1,"where, which"
ăl,141,6,1,intensifier
ăn,142,4,1,give
ăt,143,6,1,a yoke
ba,144,9,1,"1st person dual inclusive/to take along with, go along with "
bah,145,16,1,"downriver, south/wash, wipe with water"
"bah, dak bah",146,25,1,flowing water with debris in it
Bahnar,147,7,1,Bahnar
bai,148,15,1,small bamboo basket
bal,149,4,1,harlot
bang,150,0,1,see clearly
bă,151,6,1,spoon
băk,152,7,1,nighthawk
băl,153,1,1,"each other, reciprocal "
blah băl,154,8,1,fight each other
"băn, tơpỗ băn",155,9,1,very good friend apparently with special bond or contract
băt,156,4,1,to know
bek,157,6,1,fat
ben,158,15,1,"craw, crop of birds"
beng,159,13,1,to shove
bĕ,160,12,1,"imperative, often has the idea of including speaker in action of the verb"
bĕl tơbĕl,161,3,1,designates something small
bĕng,162,28,1,to carry as in holster
"bia, prit bia",163,30,1,long green type bananas
biao,164,0,1,"completely gone, nothing there "
biĕm,165,9,1,second person dual
biĕng,166,27,1,to express feelings with eyes
bioh,167,13,1,"to hit with fist, box"
biôi,168,14,1,lime
biônh,169,26,1,type of smile
biông,170,23,1,large basket used for measuring rice
bip,171,5,1,duck
bǐ,172,9,1,"and (you), how about (you)"
bī,173,0,1,negative
bih,174,14,1,poison
bla,175,14,1,kidneys
"blach, plei blach",176,3,1,Adam's apple
blah,177,37,1,"to split/to fight/classifier for clothes, blankets"
blai,178,18,1,to overflow
blang,179,18,1,"to open fist, unfold cloth/ to split"
blăn,180,25,1,marks on skin as toothmarks
blei,181,27,1,to curse name of other person's parents
blip,182,10,1,to keep coming though you try to stop/dark all over as about to rain
blo,183,30,1,a fruit with several edible outer layers
"blo, blo tơblo",184,42,1,to designate person with puffed cheek because of food inside
blok,185,28,1,to turn head
blŏng,186,33,1,handle of axe
bloih,187,34,1,to shoot at something nearby and miss
blŏng-blĕnh,188,28,1,of a log to turn
blôk,189,19,1,of water to boil up
biôm,190,30,1,edible part of jackfruit
"blông, roi blông",191,27,1,person covering up with words his real feelings
blông,192,3,1,gallop
blôt,193,38,1,of wood bamboo to be still green though cut already
blơch,194,30,1,"describes food that is oily and smooth as peanut butter, pounded squash seeds"
blỡ,195,28,1,"to turn over of own accord as car, waves; to turn pages"
blỡ blĕch,196,2,1,"to be changeable, not keeping one's word"
blu,197,16,1,"upper leg, thigh"
bluh,198,18,1,to sprout out of the ground
blũk blũk,199,49,1,the bubbling up of water from someone drowning or ghost
blũng,200,18,1,to penetrate
blũt,201,29,1,to feel angry inside
blư,202,27,1,to describe sudden arrival of someone
blư-bla,203,27,1,sudden arrival of many people
"bo, 'ba bo",204,23,1,rice grain with no kernel
"boih, bơih",205,1,1,already
bong,206,7,1,casket
bop,207,43,1,"to be thin-looking with age as man, bamboo "
bot,208,14,1,"clean, beautiful--house,clothes"
bŏ,209,3,1,mumps
bŏk,210,38,1,"to hollow out, make hole in wood large or small"
bŏk ak,211,18,1,"armpit, underarm"
"bŏl, bŏl",212,3,1,island
"bŏng, nhŭng bŏng",213,5,1,"boar, male pig"
"bâu, bŏu roi ",214,34,1,to talk about behind one's back
"bô, sem bô",215,5,1,owl
bôǐ,216,23,1,small jar
"bôk, prit bôk-prit Yuăn",217,30,1,"short fat yellow bananas also known as ""Vietnamese bananas"""
bôk,218,39,1,greyish white
bôl,219,9,1,"friend, companion, peer"
"bôm, 'bih bôm",220,40,1,poisonous green snake
bôn kơne,221,16,1,upper arm muscles
bơ,222,40,1,small black fish
bơ-,223,32,1,prefix used to imitate stuttering
"bơang, bơuh-bơang",224,11,1,to perspire profusely
"bơbah, gah bơbah",225,21,1,"toward the mouth of the river, south"
bơde,226,3,1,goat
bơbŏk,227,47,1,to take out with hands to eat
bơbŏng,228,25,1,the neck of a gourd (water container) or bottle
bơbông,229,25,1,to designate appearance of a large hole
bơbỡ,230,46,1,to prepare meat for cooking
bơbỡt-bơbăt,231,10,1,to hit long and hard or to work a long time
bơbrǐl,232,44,1,the feeling one gets on his bare feet when walking over pebbly ground
bơbrŏk,233,12,1,of conversation to go back and forth
bơbrŏng,234,4,1,to designate an empty house
bơbrơng,235,48,1,to designate a smelly mess with flies all over it
bơbrỡk-bơbrăk,236,27,1,to designate many people talking continually
bơbul,237,35,1,"not able to see much, almost blind/rounded jar"
bơbŭng,238,25,1,"roof, also a classifier for house"
bơhleng,239,46,1,of a woman to have a continual desire to eat
"bơhlik, pơma bơhlik",240,27,1,to tell over and over even though a person has heard
bơhlik-bơhlak,241,31,1,destruction
bơhngir,242,48,1,body odor
bơhur,243,41,1,to be very hot at night
bơla,244,3,1,elephant
bơlah,245,23,1,rice cooked in banana leaves or bamboo sections and boiled
bơlang,246,5,1,bird with white standing feathers on head
"bơlang, brai bơlang",247,35,1,white thread
bơlao,248,0,1,day before yesterday or most a few days ago
bơlăm,249,27,1,of children to talk to themselves
"bơle, che bơle",250,22,1,"to scorn, make fun of"
"bơling, sem bơling",251,5,1,bird
bơlŏ,252,39,1,fever
"bơlŏu, hla bơlŏu",253,15,1,the leaf part used in betel nut mixture
bơlôh,254,17,1,hole in wall as rat hole
bơlơh,255,22,1,"to take over for, to exchange things or positions, relieve "
bơlỡk,256,6,1,aluminum
bơlũ,257,37,1,to mix different things together
bơluỡl,258,27,1,"to mumble, not able to talk"
bolũk,259,41,1,to overeat or drink
bơmĕng gŏ,260,39,1,kettle black
bơnông,261,2,1,ceremony for someone who has died away from home and body not returned
"bơmŏu, bơnâu",262,14,1,mushroom
bơmỡt,263,1,1,west
bơmreh,264,25,1,dead branch with no leaves
bơmuih,265,15,1,field made in woods
"bơnă, bơngai bơnă",266,9,1,captive
bơneh,267,48,1,"word used to describe intensive activity, not sure whether body part or intensive only"
bơnei,268,16,1,waist
bơnĕcg,269,33,1,tree stump cut on angle
bơnê,270,20,1,"to thank, be grateful "
bơnŏ,271,31,1,to be weak
bơnỡng,272,6,1,"lid, cover"
bonỡt,273,6,1,dam
bơnũng,274,30,1,young bamboo
bơng,275,30,1,"the stomach of a cow, carabao/hollow tree trough made from cut log"
"bơnga, klăn bơnga",276,3,1,the long variety of python
bơngai,277,9,1,"person, people "
kon bơngai,278,9,1,mankind
bơngoi,279,31,1,"sad, crestfallen"
"bơnhă, đak bơnhă",280,6,1,type of spring
bơnhuăl,281,5,1,type of anteater
bonhŭl,282,3,1,toadstool
bơŏ,283,45,1,"description of fat-cheeked, fat-bellied child"
bơôr,284,19,1,bloated
bơỗ,285,48,1,"similar to bơŏ but describing an adult, bloated as in death"
bơring,286,27,1,to lead a sick person
bơrơng,287,42,1,"to watch, take care of children or animals"
bơsa,288,33,1,instrument used to keep thread close together in weaving
"bơsat, pơsat",289,7,1,"tomb, cemetery, grave"
bơsŭn,290,21,1,"hut, shelter"
bơuh,291,11,1,to perspire
bơwang,292,33,1,to encircle
bơwĕnh,293,16,1,cowlick
bơwīnh-bơwīnh,294,28,1,move around in place
bơya hong,295,5,1,crocodile
bơyong,296,12,1,to sing mimicking one another
boyỡng,297,34,1,to go for a walk usually used as euphemism for going to the bathroom
bỡ,298,11,1,"to work, build to work"
bỡl,299,25,1,dull (knife)
bỡn,300,9,1,1st person plural inclusive/pluralizer usually used when more than one type of is being
bỡng,301,38,1,to cover pot with leaves and tie around
bỡt,302,37,1,to make a dam
brai,303,8,1,thread
bram,304,5,1,beard of billy goat
bơbe bram,305,3,1,billy goat
brang,306,15,1,plant used to make rope
brăm,307,8,1,not the best but okay
"brăng, kŏ brăng",308,21,1,millipede
bre,309,9,1,dualizer for 3rd person/term designating many people only used in vocative
bre sư,310,4,1,those two
brĕ,311,1,1,"carefully, well "
"brĕch, 'ba brĕch",312,30,1,wild rice
brei,313,0,1,yesterday
brĕl,314,15,1,"small, round objects like peanuts"
brĕng,315,15,1,type of tree--very large
brĕnh,316,39,1,color combination of having small spots of black and white
bri,317,6,1,woods
brih,318,11,1,to pass by
brǐng,319,26,1,"evil, bad"
bro,320,6,1,area of land beside field not yet cultivated
broch,321,23,1,to harvest rice by stripping grains from plant
broi,322,23,1,regular hard rice
brong,323,21,1,type of basket carried on back
brỡk,324,1,1,return
"brôn, tung brôn",325,2,1,to be in prime of life
brôn,326,45,1,itchiness from riding wet animal
brônh,327,5,1,color combination such as that of a tiger
brỡ-brỡ,328,20,1,of money to be spent easily
brỡng,329,21,1,basket with decorative layer
bru-bra,330,16,1,to designate many small things coming out from a hole
brua,331,46,1,"to indicate the way rice, people come out of somewhere"
bruơ,332,1,1,intensification of brua
bruang,333,8,1,to indicate a large house
bruỡng,334,14,1,"to indicate very large house, intensification of bruang"
