Topic,Keys,Tag,note
0,iêl,k,
0,đit,k,
0,lơliơ,,
0,"""băt",,
0,tơbăr,,
0,"""biơu",x,
0,"""băt",,
0,sơsrĕo,,
0,"drô, minh drô",x,
0,nhơnhuei,k,
1,sơđah,,
1,klỡm,x,
1,tuơh,k,
1,sơđah,,
1,chă huang,,
1,pơtăm,,
1,lĕch,,
1,sa,,
1,"""bǐch",,
1,mơmŏ,,
2,măng-mei,,
2,jih,x,
2,jih,x,cuối cùng
2,ponŭnh,x,
2,prao,,đóm lửa
2,rơh,x,Rồng
2,ong,,Rễ
2,măt,x,Con ong
2,gơhô,x,Mắt
2,teng-neng,x,ăn nhiều
3,nguan,k,chuông
3,hua,k,
3,kol,,
3,plên,,ốm
3,tơpai,,Mập
3,"so, kŏ so",,Lớn vừa vừa
3,tơno,,chó sói
3,chơgơu,x,Nam
3,plĕn,,
3,toi,,mập
4,jet ,k,chết
4,hlôh,,
4,tơgŭm,,tự giác
4,khan ,,giúp đỡ
4,hiơt,,nói
4,"uơuih(, 'wơ'wih)",,quên
4,tơdra,k,
4,pơgiỡng,,
4,pơgiỡng,,
4,năng,,
5,sữ,k,nhìn
5,klă klang,k,cũ
5,reng,k,
5,ai ,,
5,pơwao,,
5,tơwir,,
5,pơhre,,
5,wei,k,
5,apah,,
5,pơư pơang,,
6,plui,,thuốc
6,doyĕn,,
6,adrih,,
6,pơbrŏng,,
6,kơpăt,k,
6,rơnôp,k,
6,kơdǐm,,
6,"kơnuăn, hla kơnuăn",,
6,'nhot,,
6,trang,,
7,pơtỡp,,
7,rong,,
7,pơlek sơnĕnh,,
7,dơhơr,k,
7,mŏm,,
7,pơngiĕl,,
7,pơlek sơnĕnh,,
7,hiĕm,,
7,ngăn,x,
7,tơnŏ,,
8,kiỡ,,
8,tuch-luch,,
8,lỡm,,
8,keng-kong,,
8,kơthao,,
8,"bŏl, bŏl",,
8,sip,k,
8,sip,k,
8,tuch-luch,,
8,"'mŏk, 'măng' mŏk",,
9,"grôk, grôk",x,
9,wok,,
9,gogrôk-gơgrak,x,
9,"""jreng",,
9,‘brĕng,x,
9,kuak,,
9,prek,,
9,krônh krônh,x,
9,kreo-kreo,k,
9,krơt krơt,k,
10,tơng gơrơng,k,
10,chang ,,
10,kơdih,x,
10,pơdŭk,x,
10,kữ,k,
10,kiỡ,,
10,chang ,,
10,tơng gơrơng,k,
10,tôch,,
10,pơngô,,
11,adron,k,
11,rông,k,
11,bơsŭn,,
11,tơjrang,k,
11,bruỡng,k,
11,bơbŭng,,
11,reng,,
11,gơneng,,
11,kueng,,
11,rơnơh,,
12,kŭp,,
12,khă,,
12,jăm,k,
12,jăm,k,
12,tơkĕch,,
12,plĕch,,
12,ngua,x,
12,măr ,,
12,'ngang-kơ'ngang,,
12,grĕnh,,
13,tom,x,
13,ba,x,
13,pơtăl,x,
13,pơjao,,
13,iŏk,,
13,ming ,,
13,adrol,,
13,gô,,
13,rỡng,x,
13,răp,x,
14,hơhơch,x,
14,pơloi,,
14,pơjuang,,
14,pơliĕm,,
14,ngêh,x,
14,huay,,
14,pơhlŭ,,
14,hơlĕnh dêh yĕl,,
14,amrĕl,,
14,blỡ blĕch,x,
15,kuĕk,k,
15,gơwŏk,k,
15,pơkăl,,
15,'nhut,k,
15,kơsep,k,
15,kơsep,k,
15,kuĕk,k,
15,hrŭch,,
15,reh,,
15,'ngơnh,k,
16,hlêp-hlêp,x,
16,kăl,,
16,chơchoh,,
16,kăl,,
16,tơjêr,,
16,nhơnhĕn,,
16,săng ,,
16,anglop,k,
16,pat ,,
16,săng ,,
17,ngỡr,,
17,kêng,x,
17,bơngai ưh kơ sơlă,,
17,dêt-bơngai dêt,,
17,mǐl ,,
17,chhŏnh,,
17,"bơle, che bơle",,
17,blei,,
17,yŏ,,
17,blei,,
18,"du, hla du",x,
18,kơkŭh,,
18,chong-wong,x,
18,hơjỡm,k,
18,sung,k,
18,bơlỡk,,
18,amǐl,x,
18,tơnôn,x,
18,amǐl,x,
18,jrŭm,x,
19,bơnŏ,k,
19,hobỡ,k,
19,hơk-hơk,k,
19,tơgở,x,
19,hơk-hơk,k,
19,'nă-'nap,k,
19,hơk-hơk,k,
19,rơngot,,
19,'nă hal,k,
19,tơhueh,k,
20,arỡp-arăp,k,
20,rŏng,,
20,klŏk,,
20,"'ngiĕo, gah 'ngiĕo",x,
20,kơpah,,
20,arỡp-arăp,x,
20,rơhiĕo,x,
20,rơhiĕo,x,
20,dơsoh,,
20,kơiĕng,,
21,hơiơch,,
21,"hmar, apo hmar",,
21,chhŏr,x,
21,rơngei,k,
21,hơnhŏ,x,
21,hmêh,k,
21,jei,k,
21,la lah,k,
21,sĭt,x,
21,đei,x,
22,jur,,
22,jruh,,
22,pỡk,,
22,tơblŭt,,
22,hor,,
22,tơblŭt,,
22,chuỡr,k,
22,glỡm,,
22,bơbrǐl,x,
22,tơpỡk,,
23,pơnơi,k,
23,bơ,,
23,ka,,
23,sơdring,,
23,honhă,,
23,jŭk,,
23,pơđỡm,,
23,hlang,,
23,"""broih",,
23,bơ,,
24,"kơbăl, kơbăl jỡng",,
24,kuang,,
24,jỡng,,
24,ti ,,
24,ket-kong,x,
24,kơdrơh,,
24,ket-kong,x,
24,tang-dŏ,k,
24,kơdrơh,x,
24,chơnglai,x,
25,brữ,k,
25,lôch tang,,
25,wôi-wơwôi,,
25,lễ,,
25,pră,,
25,yôk ,,
25,krip krip,x,
25,lễ,,
25,pơdong,,
25,oaih,x,
26,ot,,
26,yak,,
26,"wing, năm wing",,
26,khơī,,
26,anỗ,,
26,ataih yaih,,
26,drong,,
26,drong,,
26,anỗ,,
26,‘mi,x,
27,"ruh, 'ba ruh",x,
27,klang-klôm,,
27,mơlôh,,
27,bơlah,,
27,"brĕch, 'ba brĕch",,
27,hơdrŏ,,
27,tơyông,,
27,rơnhong,k,
27,mơlôh,,
27,"liĕng, 'ba liĕng",,
28,hơdrỡm,k,
28,pơle ,,
28,tơnang,,
28,tơ'băng,,
28,trôih,x,
28,tơnang,,
28,tơdrah,,
28,tơlak,x,
28,chăr,,
28,pơnah,,
29,kơdong,,
29,kop ,,
29,"jông-jôt, bơmŏu jông-jôt",,
29,kơnar,,
29,kơnu,,
29,hueng,x,
29,đĕ-đŏ,,
29,joh,,
29,chơdong,k,
29,chơ'mrunh,k,
30,pơtơm,,
30,bĕ,x,
30,pơđep,,
30,hơla,,
30,ăn,,
30,pơtơm,,
30,pơkă,,
30,wơh,x,
30,'nĕ,x,
30,pơgỡr,,
31,kơwữ,,
31,kơpen,,
31,kơchôt luĕt,,
31,hla bơar,,
31,iir-iur,k,
31,kơn seo,,
31,tăr bang,x,
31,tơtir-tơtăn,,
31,tăr bang,x,
31,kơten,x,
32,kuǐp,k,
32,dơt,k,
32,tơchoh,,
32,jơh-wĕl,,
32,sơkŭng,x,
32,asi,,
32,tre-wĕt,k,
32,der,,
32,sim,x,
32,asi,,
33,"bŭng, gŏ bŭng",,
33,jrŏu,,
33,"bŭng, gŏ bŭng",,
33,pơkro,,
33,lek,x,
33,pơtŏ,,
33,et,,
33,tă,,
33,pơtăng,,
33,lek,x,
34,bữk,,
34,grê,k,
34,tơnŭng-long tơnŭng,,
34,tơm,,
34,bơng,x,
34,kơmrơng ǐt-ing,k,
34,bữk,x,
34,aroh,,
34,dơngỡl,,
34,tơ'ngot,,
35,hăk,,
35,kăp,,
35,hngơr,,
35,sơsek,,
35,ỡt,,
35,ket,x,
35,jro,,
35,kơsoh,,
35,prôi,,
35,ỡt,x,
36,soluễ,,
36,bang ,k,
36,"pling, măt pling",,
36,tơluỡng,,
36,măt,,
36,tơbang,x,
36,hơwỡ,,
36,se-le,x,
36,tol,,
36,"pliơng, măt pliơng",,
37,tang-wang,,
37,um,k,
37,kiĕn,k,
37,tơkhiĕn,k,
37,kong,,
37,dor ,k,
37,bru-bra,,
37,gơnuang,k,
37,bru-bra,,
37,anam ,,
38,iung,k,
38,drap,x,
38,drap kơmrap-kơmrônh-mônh,x,
38,hen ,x,
38,chro,,
38,jǐl chỗ,,
38,dỡng,,
38,khoǐ-khoǐ,,
38,"tơhlŏu, tơhlâu",,
38,"""blă",x,
39,bro,,
39,kro,,
39,chang-lă,x,
39,pơgar,k,
39,uh,,
39,muih,,
39,bro,,
39,bluh,,
39,'nhĕt,,
39,ruh,,
40,pơngơk,k,
40,đŏl,,
40,akơn,,
40,tơ'bĭch,,
40,ngơk,,
40,hơli,,
40,lơlŭ,,
40,krôp,x,
40,glĕch-glŏch,x,
40,lơlŭ,,
41,"chro, plĕnh chro",,
41,hơi,x,
41,chak,,
41,dreng ,,
41,găm,,
41,sraih bơmrôm,x,
41,jơk,,
41,chak,,
41,"""brông",,
41,"""brông",,
42,hơia,,
42,gŭi,,
42,plei,,
42,gŭi,,
42,plei,,
42,hơra ,,
42,mit,,
42,pơŏ,,
42,đum,,
42,gŭi,,
43,chok,,
43,teng,,
43,phŭch,x,
43,chok,,
43,nhah,,
43,trŏ,,
43,pỡng,,
43,tôn,x,
43,đŭl,,
43,tap ,,
44,tăr-wăr,,
44,tơdrŏ,,
44,'ngêl-'ngêl,,
44,đot-đot,k,
44,adrŏ tơdrenh,x,
44,tơ'mret,x,
44,'nhĕr-'nhĕr,k,
44,adrŏ tơdrenh,x,
44,gơgŭ,,
44,tơtuh,,
45,"hơbŏu, hơbâu, rơbŏu",,
45,hngok-hngônh-mônh,,
45,dơngôk-dơngak-mak,,
45,iăl,,
45,mơlak-mơlônh,,
45,hloh,,
45,rơtuh-rơtăl,,
45,loi,,
45,"rơbŏu, rơbâu",,
45,hơmŭl,,
46,biônh,k,
46,muh,,
46,sodrêu,,
46,kơnur,,
46,jơngong,,
46,klĕng,,
46,muh,,
46,klĕng,,
46,sơkŭng,,
46,rơpiĕt,,
47,"so, si so",,
47,huăr,,
47,srŏk,,
47,srŏk,,
47,tang-al,x,
47,"so, si so",,
47,hơdrông,,
47,"brăng, kŏ brăng",,
47,"brăng, kŏ brăng",,
47,arah,,
48,sut,,
48,chho,,
48,jrĕnh,,
48,pơ'nguaih,,
48,paĭ,,
48,tŭk,,
48,akôih,,
48,so,k,
48,kloh,x,
48,gơlŏng,,
49,lễ đĕch,,
49,đī,,
49,lơleh,,
49,bŭl,k,
49,chang lơleh kơ'bôh,,
49,hoh-hoy,,
49,goh,,
49,hoh,,
49,chơgrô,,
49,"""juỡh",x,
50,gleh-glan,,
50,hơnỡng -hơnong,,
50,kơlông-kơlang,,
50,nhơnhĕn-nhơnhônh-mônh,k,
50,hơtŭt-hơtat,,
50,gleh-glan,,
50,tơkul-tơkal-mal,,
50,dêh,,
50,kơtum kơtŏng,,
50,jơnap-jơnoi,,
51,hăt,,
51,hơbĕch,k,
51,blông,,
51,plŭt,,
51,hơbĕch,k,
51,kơchăn,,
51,blông,,
51,pơgiĕk,k,
51,"luh, luh lăng",,
51,tĕnh,,
52,kuĕl,,
52,tơmo,,
52,"Jrai Bahnar, kon Jrai Bahnar",,
52,trong,,
52,plĕnh,,
52,thŭng,,
52,kial,,
52,tơmo,,
52,trong,,
52,tŏk,,
53,kung bơbe,k,
53,kơdeh,,
53,ngah,k,
53,jŏk,,
53,dơdơng,,
53,dăng,,
53,srang,k,
53,war,,
53,hơnguỡk,k,
53,bŏk,,
54,"wing, wing măt",,
54,"brữ, apo brữ",,
54,"mol, lôch mol",,
54,chơwơ-chơwơ,,
54,rŭng,,
54,kơjon,,
54,"mol, lôch mol",,
54,way way,,
54,sơ'nguir,,
54,"hrŭt, lôch hrŭt",,
55,"""bĕng",x,
55,tôl,,
55,"thong, đak thong",,
55,kơphe,,
55,biôi,,
55,đak,,
55,đơng,,
55,chuơh,k,
55,"guêng, jỡng guêng",,
55,hơnong,,
56,pơhuach,,
56,khuỡk,x,
56,pơđĭ,,
56,huach,,
56,uỡt,k,
56,wơnh,k,
56,wơnh,k,
56,lao-lao don,k,
56,howŏng,,
56,lao-lao don,k,
57,"nŏu, 'nâu",,
57,'ni,k,
57,lơlŏu,,
57,nơnoh,,
57,"dah, hơdah",k,
57,kơlĕ,,
57,soh,,
57,dah ,,
57,'nu,,
57,khỡ,,
58,sơker,,
58,koi lơloi,,
58,"reh, johngỡm reh reh ",,
58,tơrơ ,,
58,rang,,
58,koi lơloi,,
58,mơlŏu,,
58,găng,,
58,tơrơ ,,
58,găng,,
59,tơtrơn,x,
59,pak,x,
59,băl,x,
59,tơklah,,
59,rai,,
59,sơpong,,
59,pơyỡr,,
59,pak,,
59,song ,,
59,tơtrơn,x,
60,kơ'ngŭnh,,
60,'nhĕk-'nhĕk,k,
60,'nhĕk-'nhĕk,k,
60,klŏ,,
60,dơsor,x,
60,‘mơng,,
60,‘mơng,,
60,pơm 'long sơlam,,
60,pơm 'long sơlam,,
60,hreh,,
61,honhǐr-honhăr,,
61,yuh ,,
61,ngăp-ngăp,x,
61,tơhôih,,
61,bơneh,,
61,tơhôih,,
61,bơlŏ,,
61,yuh ,,
61,‘bri,x,
61,hơnhek,,
62,"sueng, 'bŏu sueng",,
62,'nhơ'nhỡp-'nhỡ'nhăp,,
62,hlŭt,,
62,gŏ klăn,,
62,"bruh, brit",,
62,"phu, 'bâu phu",,
62,bơbrơng,,
62,"bruh, brit",,
62,gŏ klăn,,
62,"khot, 'bŏu khot ",,
63,thŭng-thong,k,
63,kơdăng,k,
63,ling,k,
63,kơdăng,,
63,choklêng,,
63,jêr-tơjêr,,
63,thŭng-thong,k,
63,đŏng,,
63,choklêng,,
63,sơlak,,
64,'lỡp,,
64,krĕ,,
64,"dră-kăn, drŏ-kăn",x,
64,"dră-kăn, drŏ-kăn",x,
64,'nu,,
64,khul,,
64,sŏu-se,,
64,kơtơh ăng,k,
64,kră,,
64,drŏ-nglo,,
65,srok,k,
65,jrỡp,k,
65,chơ'mon,k,
65,sĕr,k,
65,sŏ,,
65,pơngok,k,
65,srok,,
65,sŏ,,
65,tơpung,,
65,chơkang,,
66,mơn ,,
66,kreh,,
66,mơn ,,
66,"chŭ, jǐ chŭ",,
66,kơkaǐ,,
66,lŏng,x,
