Keys,Definitions,English
A," Cette lettre placée en tête d’un verbe en fait quelquefois un substantif; Ex: #61, porter sur l'épaule (une colonne, une croix, etc).  Ming atôi, une charge portée sur l’épaule.  D’autres fois, le mot ne change pas de sens par cette adjonc- tion: Ex: fol, atol, suspendre: par, apar, voler, s'envoler. ","This letter placed at the head of a verb sometimes makes it a noun; Ex: #61, worn on the shoulder (a column, a cross, etc). Ming atôi, a load carried on the shoulder. Other times, the word does not change its meaning by this addition: Ex: fol, atol, suspend: by, apar, to fly, to fly away."
À," Rejeter de la bouche.  — hò fð, re- jeter parce que c’est trop chaud. ","Reject from the mouth. — hò fð, reject because it is too hot."
ABÔ," Le pareil, le pendant, appartenant à un même tout, semblable.  — mà & än hồ inh, pareil à ce que vous m’avez donné. ","The same, the counterpart, belonging to the same whole, similar. — mà & än hồ inh, same as what you gave me."
ÁCH," Xâu —.  Arrière petit-fils, arrière petite- fille; arrière petit-neveu ou nièce.  ","Xâu —, Great-grandson, great-granddaughter; great-grandnephew or niece."
ACHÂM," Heurter, se heurter. ","Collide, collide."
ACHĂNG," Abandonner, quitter, laisser, lâ- cher.  — tük, jeter de côté.  — dibal, divorcer.  — đỏ- drong Bà lãng, apostasier.  ","Abandon, leave, leave, let go. — tük, throw aside. — dibal, to divorce. — đỏ- drong Bà lãng, apostatize."
ACHEK," Ananas.  Brai —, fil d'ananas.  — pè- nhut, saumure d’ananas.  ","Pineapple. Pitch —, pineapple thread. — pè-nhut, pineapple brine."
ACHEP," Paquet, poignée (de légumes, d’her- bes, etc), gerbe.  -","Package, handful (of vegetables, herbs, etc.), sheaf. -"
ACHÔ," Pourvu que.  — }#òè dt tôch e iù kikid, pourvu qu'il n’y ait pas de mal, que craignez-vous ?","Provided that. — }#òè dt tôch e iù kikid, provided there is no harm, what do you fear?"
ACHÔ," Fagot, botte, gerbe, fais- ceau, paquet, javelle, etc. ","Fagot, bundle, sheaf, bundle, bundle, bleach, etc."
ACHOM," S’entrechoquer.  (Se dit d'objets fra- giles et faciles à fêler, à briser: jarres, tam- tam, etc. )","Collide. (Said of fragile objects that are easy to crack, to break: jars, tom-tom, etc.)"
ACHON," Ile.  — dèxi, île dans la mer.  - krông, île dans le fleuve, la rivière. ","Island. — dèxi, island in the sea. - krông, island in the river, the river."
ACHOT," Appuyer contre, s'appuyer contre, appliquer, assujettir contre.  || Convenir, fixer, dé- signer, déterminer.  — Èð pônèt, ou iò pônèt, fixer contre le mur.  | — ""ang, convenir du jour.  (Les Bahnars disent, fixer ou marquer les nuits. )","To press against, to lean against, to apply, to subject against. || Agree, fix, designate, determine. — Èð pônèt, or iò pônèt, to fix against the wall. | — ""ang, to agree on the day. (The Bahnars say, fix or mark the nights. )"
ACHÜ," — hòi, donner đe la tête contre.  — {à long, heurter contre un arbre. ","— hòi, give the head against. — {at length, hit against a tree."
ACHÜT," Pousser (ne se dit que des choses).  —long ,unh, attiser le feu.  [Pour les personnes, V.  POCHÜT. ]","Push (only say things to each other). —long ,unh, stoke the fire. [For people, V. POCHÜT. ]"
ADA," Canard.  — tèmông, canard.  — akän, canne.  — däk, sarcelle. ","Duck. — tèmông, duck. — akän, cane. — däk, teal."
ADIANG," Scorpion.  — xoët, le scorpion pique. ","Scorpio. — xoët, the scorpion stings."
ADOIH," Aïe.  (Exclamation de douleur, de surprise. )","Ouch. (Exclamation of pain, of surprise.)"
ADRÀ," Sécher, faire sécher (au feu, au soleil).  — bã, faire sécher le riz. ","Dry, dry (in the fire, in the sun). — bã, dry the rice."
ADRÀ," Sorte de claie en bambou suspendue au dessus du foyer, pour faire sécher du poisson, ou du gibier.  ","Kind of bamboo rack suspended above the hearth, to dry fish or game."
ADRAH," Mélanger, mêler, mélangé.  Pai poi — hò habö, cuire du riz mêlé avec du maïs.  (Y.  ADREH]","Mix, mix, mix. Pai poi — hò habö, cook rice mixed with corn. (Y. ADREH)"
ADRAL," Borne, limite (d'un champ ou entre deux champs), placer des bornes, limiter.  — dèxa- lam mir ba jt hÌath bük, ba — hamang, les bornes entre ton champ et le mien sont pourries, plaçons- en de nouvelles. ","Boundary, limit (of a field or between two fields), place boundaries, limit. — dèxalam mir ba jt hÌath bük, ba — hamang, the boundaries between your field and mine are rotten, let's put new ones."
ADRÂM," -kôxd, vers le soir, à l’entrée de la nuit. ","-kxd, towards the evening, at the beginning of night."
ADRÂM," L'endroit de la rivière ou de la fon- taine où l’on va puiser de l’eau — #ir, fontaine du champ.  ","The place in the river or fountain where we go to draw water — #ir, fountain of the field."
ADRAM," Ramollir en enduisant de quelque matière émolliente.  — xar& pang jòršng, rendre Varbalète plus souple en la frottant de cire.  :","Soften by coating with some emollient material. — xar& pang jòršng, make Crossbow more flexible by rubbing it with wax. :"
ADRĂNG GÜ," Mettre la marmite sur le feu pour y faire chauffer l’eau qui doit cuire le riz.  Hôdrel từng dòng lẽ), de drakan —.  Aussitôt leur lever, les Émmes mettent la marmite sur le feu. ","Place the pot on the fire to heat the water which will cook the rice. Hôdrel từng dòng lẽ), from drakan —. As soon as they get up, the Emmes put the pot on the fire."
ADRANG," Se chauffer.  —#ÿ, se chauffer au soleil.  Piän püih—15 1 pra, se chauffer au so- leil, sur la véranda, l'hiver. ","Warm up. —#ÿ, bask in the sun. Piän püih—15 1 pra, warming up in the sun, on the veranda, in winter."
ADRE," (Suivant les lieux on dit adrèë ou achang. ) Abandonner, quitter, laisser, rejeter.  Mà de—inh, Bà lãng du hè — Quand même tout le monde m’abandonnerait, Dieu ne m’abandonnera pas. ","(Depending on the place we say adrèë or achang.) Abandon, leave, leave, reject. Mà de—inh, Bà lãng du hè — Even if everyone abandons me, God will not abandon me."
"ADRECH, ADREK"," Semence, genre, espèce, sorte.  Ba ji di lò —, il y a beaucoup d'espèces de riz.  Ba —, riz de semence.  Tôm kd bongai ji ming —.  Tous les hommes sont d’une même race. ","Seed, genus, species, sort. Ba ji di lò — there are many types of rice. Ba —, seed rice. Tôm kd bongai ji ming —. All men are of the same race."
ADREH, Mélanger. ,Mix.
ADREY," Pilon dont on se sert pour piler le riz.  Xðng —, façonner un pilon, le polir.  ","Pestle used to pound rice. Xðng —, shape a pestle, polish it."
ADRENG," Griller, brûler, torréfier.  — habo, griller du maïs.  Gở —, vase spécial pour griller quelque chose. ","Grill, burn, roast. — habo, grilling corn. Gở —, special vessel for grilling something."
ADRET, Hâchis fait de troncs de bananier qu’on cuit. ,Mince made from cooked banana trunks.
ADRIH," Crû, vert (non mûr), vert (non flétri ou non sec).  X4 nhâm —, manger de la viande crue.  Pley —, fruit vert.  Hla —, feuilles non cuites ou encore vertes. ","Raw, green (unripe), green (not wilted or not dry). X4 nhâm —, eat raw meat. Pley —, green fruit. Hla —, uncooked or still green leaves."
ADRIN," S'efforcer, tâcher, faire tous ses ef- forts pour.  — pôkeh drou.  Tâcher de finir aujour- d’hui.  || (après un verbe) Brôk —, marcher avec peine, avec difficulté, avec efforts (soit faiblesse, soit répugnance).  X —, se forcer à manger (en parlant d’un malade).  . ","Strive, strive, make every effort to. — pôkeh drou. Try to finish today. || (after a verb) Brôk —, to walk with difficulty, with difficulty, with effort (either weakness or repugnance). X —, force oneself to eat (speaking of a sick person). ."
ADRING," Ensemble, en même temps, à l’unis- son.  Bỏ —, mettre tous ensemble la main à l’œuvre.  Truh —, arriver en même temps.  . ","Together, at the same time, in unison. Bỏ —, put our hands together to work. Truh —, arrive at the same time. ."
ADRING KỞ," En même temps que, au mo- ment où. ","At the same time as, at the time when."
ADRO," Veuf, veuve.  Tớøw — de, épouser la veuve đun autre (la ramasser).  — Jàl, veuve vo- lage. ","Widower widow. Tớøw — to, marry another's widow (pick her up). — Jàl, fickle widow."
ADROH," Ranger horizontalement.  — long, ranger horizontalement des pièces de bois, côte à côte, ou en les superposant.  — bor, jeter un pont de bois sur un cours d’eau.  De — long hèna de dây tòk gah to.  Ils ont fait un pont, et c'est ainsi qu’ils ont pu passer de l’autre côté. ","Store horizontally. — long, store pieces of wood horizontally, side by side, or superimposed. — bor, throw a wooden bridge over a watercourse. De — long hèna de dây tòk gah to. They made a bridge, and that's how they were able to cross to the other side."
ADROI," Avant, auparavant, devant.  Brôk hôti —, marcher de file, pas de front.  || Marcher les uns après les autres, à intervalles différents.  [V.  ADROL] ‘ ","Before, before, before. Brôk hôti —, walk in line, not in front. || Walk one after the other, at different intervals. [v. ADROL] ‘"
ADROI KG," Avant de, avant que.  - kd lüet, avant de mourir.  — ko Bà lãng ¡ng plenh teh, avant que Dieu eût créé le ciel et la terre. ","Before, before. - kd lüet, before dying. — ko Bà lãng ¡ng plenh teh, before God created heaven and earth."
ADRÔL," Rapide dans une rivière, dans tout cours d’eau.  ","Fast in a river, in any watercourse."
ADROM, Fagotin de bois (autant qu’en peu- vent embrasser les deux mains).  ‘,Bundle of wood (as many as can be kissed with both hands). ‘
ADROM, L'endroit où l'on puise l’eau du ménage. ,The place where household water is drawn.
ADRUH," Jeune fille nubile.  (Se dit aussi des femelles des animaux en âge de porter, des oiseaux en âge de pondre et même des arbres et de certai- nes plantes. ) Ex: — tônèn, jeune fille modeste.  Kapô —, jeune bufflesse en âge de porter.  Rèômo —, génisse.  Më —, jeune bête qui vient de mettre bas son premier petit.  (Se dit même d’une jeune femme. ) Ba —, riz près d’être en épi.  Ir —, pou- lette prête à pondre. ","Young nubile girl. (Also said of the females of animals of childbearing age, of birds of laying age and even of trees and certain plants.) Ex: — tônèn, modest young girl. Kapô —, young buffalo of carrying age. Rèômo —, heifer. Më —, young animal who has just given birth to her first little one. (Even said of a young woman.) Ba —, rice close to being on the cob. Ir —, pullet ready to lay."
ADRUNG," Famille, parenté, race, de même descendance.  — de #ð kèdrâm jat, la parenté de ces gens est très-nombreuse.  Ming —, — adrèk, de même descendance. ","Family, kinship, race, of the same descent. — from #ð kèdrâm jat, the relatives of these people are very numerous. Ming —, — adrèk, of the same descent."
ADUH, (nterj) Allons donc.  Non certes. ,(nterj) Come on then. Certainly no.
AGAH," A découvert, patent, ouvert, endroit sans obstacle.  Mir —, champ peu embarrassé d'herbes.  Lech td —, sortir au grand jour. ","Uncovered, patent, open, obstacle-free place. Mir —, field little encumbered with grasses. Lech td —, going out into the open."
AGAL," Bonnet, turban, couronne.  — jüla, couronne d’épines. ","Hat, turban, crown. — jüla, crown of thorns."
AGROP," Unir, réunir, joindre deux ou plu- sieurs choses.  Ti — bar to long, porter sur l’épaule deux bois réunis  ","To unite, to bring together, to join two or more things. Ti — bar to long, carry on the shoulder two woods joined together"
AI," (Mot souvent superstitieux ou fataliste. ) Destin, fortune, sort, force vitale, force physique, fatalité — #2», di —, avoir du bonheur, avoir de la vie, de la force vitale et être en état de profiter des bonnes circonstances, d'éviter la mort ou là ruine.  Bò làp — tèngla, travailler selon sa force naturelle, selon son savoir-faire.  — x o8 föet.  Ses forces sont près de finir, sa vitalité est près de s’éteindre.  Hagâm kè — tèngla, suivant sa bonne ou mauvaise fortuné suivant son sort, la fatalité.  (Ce mot est très-employé, mais d’un sens vague. )","(Word often superstitious or fatalistic.) Destiny, fortune, fate, vital force, physical force, fatality — #2”, di —, to have happiness, to have life, vital force and to be able to benefit from good things circumstances, to avoid death or ruin. Bò làp — tèngla, to work according to one's natural strength, according to one's know-how. — x o8 föet. Its strength is nearing its end, its vitality is about to die out. Hagâm kè — tèngla, according to his good or bad fortune according to his fate, fatality. (This word is widely used, but of a vague meaning.)"
ÂY," Celui-là, cela (celui, ceux ou ce dont il est question).  Bôk — lôet büih.  Cet hom- me-là est déjà mort.  Truh tù —, arrivé en cet en- droit-là.  Mà —, md —, corrélatif de mdjd, mèjo.  E oã ?mờjò, th du oä md —.  Celui que vous voulez, c'est précisément celui là même que je veux moi aussi. ","This one, that (the one, those or what is in question). Bôk — ​​lôet büih. This man is already dead. Truh tù —, arrived at that place. Mà —, md —, correlative of mdjd, mèjo. E oã ?mờjò, th du oä md —. The one you want is precisely the one I want too."
AYÂT," Ennemi de guerre.  Met xờờng iü ko —, planter des lancettes dans la crainte de l'ennemi.  | Se mettre sur le pied de guerre, sarmer.  Nhon — ling lang, nous nous tenons toujours armés.  (On dit aussi ajàt, aiat, ou eïat. ) |","War enemy. Met xờờng iü ko —, to plant lancets in fear of the enemy. | Getting on a war footing, arming. Nhon — ling lang, we always stand armed. (We also say ajàt, aiat, or eïat. ) |"
AYEH," Se piquer démulation, de rivalité, de jalousie, d'honneur.  Ink oa xa kapô — hồ oh inh ji xa.  - Je veux manger un buffle pour ne pas paraître inférieur à mon frère qui en a mangé un. ","Prick themselves with demulation, rivalry, jealousy, honour. Ink oa xa kapô — hồ oh inh ji xa. - I want to eat a buffalo so as not to appear inferior to my brother who ate one."
AJÜEN," Terrain plat et bas, toujours plus ou moins humide.   ","Flat and low ground, always more or less humid.  "
AJÚN.,"Hamac, filet, litière.  Ting tung tò —, porter en filet.  Kuy komang tò —, dor- mir en filet,","Hammock, net, litter. Ting tung tò —, carry in a net. Kuy komang tò —, to sleep in a net,"
AK," Corbeau.  ïz—, poule noire.  Loôet fò dak le ha xa, löet lò kông le — xa.  S'il meurt dans l’eau, que les poissons le mangent ; s’il meurt sur terre, que les corbeaux le dévorent.  (Imprécation. )","Crow. ïz—, black hen. Loôet fò dak le ha xa, löet lò kông le — xa. If he dies in the water, let the fish eat him; if he dies on the ground, let the crows devour him. (Imprecation.)"
AK," Pôleng —, couché sur le dos.  Kwy pèleng —, dormir couché sur le dos. ","Pôleng —, lying on his back. Kwy pèleng —, sleep lying on your back."
AKAL," Ce qu'il y a de plus substantiel, de plus vital, de plus nécessaire à la vie.  ÿï #ờ — hờna dah lôet.  Il est mort vite, parce qu'il a été atteint à un endroit vital. ","What is most substantial, most vital, most necessary to life. ÿï #ờ — hờna dah lôet. He died quickly, because he was hit in a vital place."
AKAN," Femme, épouse, femelle.  Klo —, mari et femme.  Iok —, prendre femme.  Adrë đò —, abandonner sa femme, divorcer.  Rômo —, genisse, vache.  Ir —, Poule.  | (Quand une chose est mé- diocre dans son espèce, on la dit femelle. ) Täng —, pipe femelle.  ð —, jarre femelle. ","Woman, wife, female. Klo —, husband and wife. Iok —, take a wife. Adrë đò —, to abandon his wife, to divorce. Rômo —, heifer, cow. Ir —, Hen. | (When a thing is mediocre in its species, it is said to be female.) Täng —, female pipe. ð —, female jar."
AKAP," Piège à rats, à oiseaux, etc.  Kône leh —, la souris est prise au piége. ","Trap for rats, birds, etc. Kône leh — the mouse is trapped."
AKAR," Peau, cuir.  — kapô, peau de buffe.  Tôley —, cordes en cuir. ","Skin, leather. — kapo, buffalo skin. Tôley —, leather strings."
AKÂU," Corps.  Pohngol lech dèng — l'âme sort du corps.  || Nom.  — & bu? Comment vous nom- mez-vous? || Moi-même, toi-même, lui-même, soi- même (se met immédiatement après le verbe).  Pôloet đò —, se tuer, se suicider.  Liem —, se porter bien.  Kônt —, être malade.  — kènï, être enceinte.  || Avoir beaucoup de viande (se dit d’un animal tué pour être mangé).  Kapô bôn ji — topä.  Notre buffle a beaucoup de viande. ","Body. Pohngol lech deng — the soul comes out of the body. || Name. - & drank? What is your name? || Myself, yourself, himself, oneself (put immediately after the verb). Pôloet đò —, to kill oneself, to commit suicide. Liem—, to be well. Kônt —, to be ill. — kènï, to be pregnant. || Have a lot of meat (said of an animal killed to be eaten). Kapô bôn ji — topä. Our buffalo has a lot of meat."
AKE," Corne.  —{u, cornes qui poussent peu.  — tobang kram, cornes en forme de pousse de bambou.  '","Horn. —{u, horns which grow little. — tobang kram, horns shaped like a bamboo shoot. '"
AKO," Cou, col.  — kol, kol —, à bosse charnue sur le cou (se dit des buffles, des bœufs).  ","Neck, collar. — kol, kol —, with a fleshy hump on the neck (called buffaloes, oxen)."
AKOM," Ramasser avec les deux mains pour mettre en tas (des herbes, de la paille, de menues broussailles).  Choh—, choh kom, faire l'herbe et la mettre en tas. ","Pick up with both hands to put in a pile (grasses, straw, small brushwood). Choh—, choh kom, make the grass and put it in a pile."
AKỎN," Appuyer un bout sur; hausser Pune des extrémités.  — Tômo, appuyer une des extrémi- tés sur une pierre.  — kdl, appuyer la tête sur un oreiller.  ","Press one end on; raise one end. — Tômo, lean one of the ends on a stone. — kdl, rest your head on a pillow."
"AKUIH, AKUEH", Racler un bambou afin d’en détacher les filaments auxquels adhérera le jus de pipe (c’est la chique des Bahnars). ,Scrape a bamboo to detach the filaments to which the pipe juice will adhere (this is the quid of the Bahnars).
AKUK," Rhume, être enrhumé.  — arang long, rhume provenant des fleurs.  (Les Bahnars s’ima- ginent que ‘les émanations des fleurs causent le rhume. )","Cold, to have a cold. — long arang, colds coming from flowers. (The Bahnars imagine that ‘the emanations of the flowers cause colds.)"
AKÜOL," Nœud de bambou, de canne à su- cre, etc.  Kram kir —, bambou à nœuds serrés. ","Knot of bamboo, sugar cane, etc. Kram kir—bamboo with tight knots."
AKÜOL," Peloton, pelotonner.  Ming — brai, un peloton de fil.  — brai, pelotonner du fil. ","Platoon, platoon. Ming — brai, a yarn platoon. — brai, curl up yarn."
ÂL," Beaucoup, considérablement (se met après un autre mot, verbe, adjectif).  72 —, souffrir beaucoup.  ÂL.  ","A lot, considerably (puts after another word, verb, adjective). 72 —, suffer a lot. ÂL."
ALAH," Paresseux.  Etre paresseux.  Bôngai —, un paresseux. ","Lazy. To be lazy. Bôngai —, a lazy person."
ALAH KO," Naimer pas à, avoir de la ré- pugnance à.  — nüng, n'avoir pas envie de re- garder, de voir.  — päng, n’aimer pas à écouter, à entendre. ","Dislike, have a repugnance to. — nüng, not wanting to look, to see. — päng, not liking to listen, to hear."
"ALÂY, ALEY", Petit tube de bambou qui dans une pipe assujettit le fourneau au tuyau. ,"Small bamboo tube which, in a pipe, attaches the bowl to the pipe."
ALĂẶK, Eau-de-vie de riz distillée.  ,Distilled rice brandy.
ALÂK," - Innombrable.  (Quand le Bahnar a dit, hôrieng, cent, et zðbáw, mille, ayant épuisé tous ses noms de nombre il ne dit plus que alàk, innombrable. )","- Countless. (When the Bahnar said, hôrieng, a hundred, and zðbáw, a thousand, having exhausted all his number names he only said alàk, innumerable.)"
"ALENG, ỞLENG"," Faire la sourde oreille, ne vouloir rien écouter.  || Qui n'accepte pas de rester inactif pour un petit malaise.  Xỏ — dik.  Il n’é- coute rien. ","Turning a deaf ear, not wanting to listen to anything. || Who does not agree to remain inactive for a little discomfort. Xỏ — dik. He doesn't listen to anything."
ALIENG," Cœur du bois.  Long —, arbre dont le cœur est dur.  — long, le cœur de l'arbre.  [V. ","Heart of the wood. Long—, tree whose heart is hard. — long, the heart of the tree. [v."
"ALU, LU"," Engager, exciter, pousser, con- seiller, exhorter. ","Engage, excite, push, advise, exhort."
"ÂLUNG, ỞLUNG"," Ang khey — , très-beau clair de lune. ","Ang khey — , very beautiful moonlight."
AMAH," Restes de paille, d’épis vides qui se trouvent dans le riz non vanné || (au fig. ) Ce qu’il y a de plus inutile.  An hè de ba bòïw kò — xd, vendre aux gens du riz mêlé de restes de paille.  Uhhd xỉ bngai, — xd di, ce n’est pas un n homme, c'est un être inutile. ","Remains of straw, empty ears found in unwinnowed rice || (in fig.) The most useless thing. An hè de ba bòïw kò — xd, sell rice mixed with leftover straw to people. Uhhd xỉ bngai, — xd di, he is not a man, he is a useless being."
AMANG," (Duel) — ming nu ba, nous deux seulement. ","(Duel) — ming nu ba, just the two of us."
AMANG," Ce qui est voulu d'avance, qui est prémédité.  Uhkò xi tro aneh ji — topä, ce n’est pas fortuit, c'est vraiment prémédité. ","What is wanted in advance, which is premeditated. Uhkò xi tro aneh ji — topä, it's not accidental, it's really premeditated."
AMIL, Miroir. ,Mirror.
AMOH," Suffisamment pour, assez pour, au moins pour ce qui est de.  —1#h ji bo đang no.  Pour ce qui me regarde personnellement, c’est bien assez comme cela.  — xa ming pègeé, le suffisant pour faire un déjeuner.  — tôngla, assez pour soi- même.  ","Enough for, enough for, at least as far as. —1#h ji bo đang no. As far as I'm concerned, that's good enough. — xa ming pègeé, enough to make a lunch. — tôngla, enough for oneself."
AMOK-AMOK," S'entretenir longuement et a- gréablement.  Nhi bok ji hma dònwh dia —, le Père et moi nous avons l'habitude de converser long- temps et agréablement. ","Talk long and pleasant. Nhi bok ji hma dònwh dia —, the Father and I are used to conversing for a long time and pleasantly."
AMOL," Se servir d'un objet pour la première fois.  — ao nao, étrenner un habit. ","Using an object for the first time. — ao nao, to wear a coat."
AMONG," Amasser peu à peu.  La nô — bio, la nô— bio dunh dunh ji lò.  En amassant un peu chaque fois, à la longue on se trouve avoir beaucoup. ","Amass little by little. La nô — bio, la nô— bio dunh dunh ji lò. By amassing a little each time, in the long run we find ourselves having a lot."
AMỎNG, Qui a vite grandi et atteint toute sa croissance.  Encore jeune et déjà grand et fort. ,Who grew quickly and reached full growth. Still young and already big and strong.
AMỎNG," Faire la sourde oreille par fierté, par dédain.  AMRA.  Paon. ","Turning a deaf ear out of pride, out of disdain. AMRA. Peacock."
AMRAH," Entremêler, mêler sans confondre.  Chơi — bar adrek ba, semer ensemble deux espèces de riz. ","Intermingling, mixing without confusing. Chơi — bar adrek ba, sowing two kinds of rice together."
AMRE," Ampre, mahang, bahang.  Piment. ","Ampre, mahang, bahang. Pepper."
ĂN," Donner, permettre.  An kd nhon xèna th nar 6.  Donnez-nous aujourd’hui notre nourriture.  Bã inh whhò —, mon père ne le permet pas.  || (à la fin d’une phrase) Bu bat—? Qui le sait (pour le dire)?","To give, to allow. An kd nhon xèna th nar 6. Give us today our food. Bã inh whhò —, my father does not allow it. || (at the end of a sentence) Bu beats—? Who knows (to tell)?"
AN, Selle de cheval. ,Saddle.
AN," Sorte de patate très-vénéneuse.  Les Bah- nars s’en nourrissent en temps de famine après lui avoir fait subir un lavage à plusieurs eaux et une forte cuisson.  Ainsi préparée, elle prend le nom de ia (grand-mère), car par superstition, on n'ose plus l'appeler an, de crainte qu’elle ne reprenne son poison. ","Kind of very poisonous potato. The Bahnars feed on it in times of famine after washing it in several waters and cooking it hard. Thus prepared, she takes the name ia (grandmother), because out of superstition, we no longer dare call her an, for fear that she will take her poison again."
AMREL," Tourner en ridicule, railler, se mo- quer amèrement, M de — domjd & tui don Bà ","To ridicule, to mock, to mock bitterly, M de — domjd & tui don Bà"
ANG Il Tang mời," Malgré toutes les railleries, soyez fidèle à Dieu. ","Despite all the mockery, be faithful to God."
ANA ANUIH," Tous les hommes, le genre hu- main (rarement employé). ","All men, the human race (rarely used)."
"ANAI, ou NAI"," Autre, un autre, d’autres.  Nar —, un autre jour.  La —, une autre fois, en un autre temps.  (on dit: la mai, et on dit: iok anai, prenez en un autre.  C’est l’euphonie qui sert de guide). ","Another, another, others. Nar —, another day. The —, another time, another time. (we say: la mai, and we say: iok anai, take another. It is the euphony which serves as a guide)."
ANAM," Grains de perles, verroteries. ","Grains of pearls, beads."
ANĂN," Nommer, appeler, s'appeler.  — mat, donner un nom.  Môn0, 1èm — kiki? Ceci, com- ment l’appelez-vous? || Attendu que, puisque.  — Đà lãng klaih tòbủn, di uhkd jor ko ăn.  Puisque Dieu l’a promis, il ne manquera pas de le donner. ","To name, to call, to call oneself. — mat, give a name. Mon0, 1st — kiki? This, what do you call it? || Whereas, since. — Đà lãng klaih tòbủn, di uhkd jor ko ăn. Since God has promised it, he will not fail to give it."
ANAT," Difficile, laborieux, pénible, être dans la peine, dans le besoin.  — kiki? Qu'y a-t-il de difficile? — bio harey, konh jonap ling lang.  Main- tenant un peu de peine, et ensuite un bonheur éternel.  || — kd & ?ok än kd nh ao mờnö.  Don- nez-vous la peine de prendre cet habit et de me le passer. ","Difficult, laborious, painful, to be in pain, in need. — kiki? What's difficult? — bio harey, konh jonap ling lang. Now a little pain, and then eternal happiness. || — kd & ?ok än kd nh ao mờnö. Please take the trouble to take this coat and pass it to me."
"ANEH, ANIH"," Cas fortuit, hasard.  Trô —, par hasard.  2 trô — hòè. . . , il arriva par hasard que. . . ","Fortuitous event, coincidence. Well, by chance. 2 trô — hòè. . . , it happened by chance that. . ."
ANG," Lumière, lumineux, luire, resplendir.  || Divulguer, le bruit court, proclamer, renom, re- nommée.  Khey — dèng mat nar, la lune reçoit sa lumière du soleil.  De —, on dit, on répand le bruit que, on publie que.  De — bðk mdnû khin, on vante le courage de cet homme.  U —, à — vanter, pro- pager la renommée.  Lech fò—, sortir au grand jour. ","Light, luminous, shine, shine. || Disclose, word has it, proclaim, fame, fame. Khey — dèng mat nar, the moon receives its light from the sun. From —, we say, we spread the rumor that, we publish that. From — bðk mdnû khin, we praise the courage of this man. U —, to — boast, spread fame. Lech fò—, come out into the open."
ANGAH," Ouvertement, sans ambages, sans détours.  Pôma —, parler clair et net, ouvertement et sans respect humain, ","Openly, bluntly, without detours. Pôma —, speak clearly and clearly, openly and without human respect,"
ANGÂM," Turban, toute espèce d'étoffe ser- vant de couvre-chef.  Porter un turban, mettre son turban. ","Turban, any type of fabric used as head covering. Wear a turban, put on your turban."
ANGLA," Espace suffisant pour faire un champ.  Bri tmờnö, tem rong kb tnh ming — mir.  Réservez-","Sufficient space to make a field. Bri tmờnö, tem rong kb tnh ming — mir. Book now"
"moi intact, dans cette forêt, l’espace suffisant pour faire un champ"," | Numéral des champs.  Mir ng —, trois champs. ","| Field numbers. Mir ng —, three fields."
ANGLANG," Arbre dont, au printemps, les Bahnars mangent les feuilles tendres, cuites à l'eau.  . ","Tree whose tender leaves, cooked in water, are eaten by the Bahnars in spring. ."
ANGLO," Un âge d'homme, siècle.  — de ia bôk txb ki, autrefois, aux siècles de nos ancêtres. ","A man's age, century. — from ia bôk txb ki, in the past, to the centuries of our ancestors."
ANGOH-ANGANG, Mendier sans aucune ti- midité ou sans honte. ,Beg without any timidity or shame.
ANGOH," Persévérer à, mettre de la persistance à.  De — bôtho inh, chờng inh dunh hè hloh.  On met de la persévérance à m”instruire, mais je suis lent à comprendre. ","Persevere in, put persistence in. De — bôtho inh, chờng inh dunh hè hloh. They put perseverance into teaching me, but I am slow to understand."
ANGONG," Porter dans le bec, porter dans la gueule.  Xem jông — Bok-Bul bòn ji oa di.  Les moineaux ont emporté dans leur bec presque tout notre Bok-Bul.  ","Carry in the beak, carry in the mouth. Xem jông — Bok-Bul bòn ji oa di. The sparrows took away almost all of our Bok-Bul in their beaks."
ANHA," Carrelet, espèce de filet pour la pêche.  Pôdèng — , pêcher au carrelet. ","Carrelet, type of net for fishing. Pôdèng —, fishing with a net."
