,Topic,Count,Name,Representation,Representative_Docs
0,-1,1241,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do something to make another give you his goods', 'to speak to a friend so that someone else will not understand', 'to pull out, take out; of water to take something away']"
1,0,200,0_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['to look here and there for', 'here this', 'to look here and there ']"
2,1,106,1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['noise of person crying; noise of blowing on something ', 'noise, sound', 'sound, noise ']"
3,2,60,2_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to hit target', 'to hit with a large stick', 'to hit with a small stick']"
4,3,55,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']"
5,4,50,4_more_completely_all_enough,"['more', 'completely', 'all', 'enough', 'many', 'much', 'full', 'little', 'kind', 'only']","['all, completely', 'no more, enough', 'all, no more']"
6,5,46,5_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['type of tree--very large', 'a type of tree', 'the Têt tree ']"
7,6,45,6_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['a type of bamboo', 'type of bamboo', 'type of bamboo']"
8,7,44,7_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['large fire', 'to light a fire ', 'to light a fire']"
9,8,43,8_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire', 'to want, desire', 'to want, desire ']"
10,9,41,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes ', 'clothes']"
11,10,41,10_language___,"['language', '', '', '', '', '', '', '', '', '']","['child, children', 'child, children', 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker']"
12,11,40,11_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['instrument used to keep thread close together in weaving', 'instrument used carry thread in weaving', 'an instrument used to keep thread in weaving even ']"
13,12,40,12_fish_poison_catch_net,"['fish', 'poison', 'catch', 'net', 'rod', 'shrimp', 'string', 'torch', 'hunt', 'conical']","['type of fish', 'a type of fish', 'fish']"
14,13,40,13_language___,"['language', '', '', '', '', '', '', '', '', '']","['to make sacrifice', 'ceremony for someone who has died away from home and body not returned', 'cleansing ceremony to get rid of bad elements from living persons taking care of one who just died ']"
15,14,39,14_language___,"['language', '', '', '', '', '', '', '', '', '']","['to be angry', 'to make sad, angry ', 'to be angry ']"
16,15,33,15_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['lechee-like fruit ', 'a type of fruit', 'fruit']"
17,16,33,16_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['type of ant ', 'of an ant or bee to sting', 'a type of bee-like insect that is very small, its honey and offspring are edible']"
18,17,31,17_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['very black, dirty black', 'very black, dirty black ', 'color combination of having small spots of black and white']"
19,18,31,18_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to pound hole into ground', 'hole in wall as rat hole', 'hole in ground']"
20,19,30,19_intensive_form_truly_really,"['intensive', 'form', 'truly', 'really', 'ktum', 'klk', 'tkul', 'tm', 'nhnhn', 'tring']","['intensive of lơ', 'intensive of bơblŭk', 'intensive of lơ']"
21,20,30,20_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to look at ', 'to look at ', 'to look at']"
22,21,29,21_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['many people', 'people ', 'group kind type race of people']"
23,22,29,22_language___,"['language', '', '', '', '', '', '', '', '', '']","['to keep on doing ', 'to stop, prevent ', 'to keep on doing']"
24,23,28,23_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['woods, brush and weeds', 'grass, weeds', 'to cut grass']"
25,24,28,24_water___,"['water', '', '', '', '', '', '', '', '', '']","['to designate water running as blood', 'water', 'to designate water flowing from pipe in large long stream']"
26,25,26,25_afraid_fearful_fear_frightened,"['afraid', 'fearful', 'fear', 'frightened', 'dangerous', 'shy', 'scare', 'be', 'frighten', 'admit']","['to be afraid continually, person who is always afraid ', 'to not be afraid ', 'to be afraid']"
27,26,26,26_language___,"['language', '', '', '', '', '', '', '', '', '']","['final particle', 'final particle', 'final particle']"
28,27,26,27_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['a type of bird', 'bird', 'bird']"
29,28,25,28_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to fall down from standing position, fall over', 'to make to fall over', 'to make to fall down ']"
30,29,25,29_language___,"['language', '', '', '', '', '', '', '', '', '']","['that, someone like you', 'like that', 'like that ']"
31,30,25,30_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['wine', 'type of expensive wine jar', 'wine']"
32,31,25,31_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['literally to make to be finished with; to heal, to forgive', 'to be finished ', 'to be finished stop thong to go somewhere for pleasure']"
33,32,25,32_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to look for by smelling as dog after prey', 'to make to look for by smelling e.g. dog after prey', 'dog']"
34,33,25,33_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to tighten as handle of knife ', 'knife', 'back side of knife blade']"
35,34,24,34_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['a measurement from tip of of one arm to tip of of other arm ', 'leg', 'of arm, leg to sleep']"
36,35,24,35_weather___,"['weather', '', '', '', '', '', '', '', '', '']","['of food to be cold', 'hot dry season', 'hot dry season']"
37,36,24,36_language___,"['language', '', '', '', '', '', '', '', '', '']","['clause and sentence-level conjunction--then therefore so', 'then, therefore ( then in a logical sense not time) ', 'then, so, now, therefore ']"
38,37,23,37_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to cut into small slices', 'to cut', 'to cut']"
39,38,23,38_time_period_ago_past,"['time', 'period', 'ago', 'past', 'distant', 'moment', 'during', 'year', 'days', 'few']","['time, short period of time', 'time', 'to be on time, in time']"
