,Topic,Count,Name,Representation,Representative_Docs
0,-1,1252,-1_stick_pile_push_pull,"['stick', 'pile', 'push', 'pull', 'with', 'to', 'for', 'over', 'something', 'things']","[""stick used to pull dog with rope on both sides so that animal can't bite the one pulling "", 'to pile on, place one on top of another', 'to do something to get it over with']"
1,0,76,0_clothes_clothing_garment_cloth,"['clothes', 'clothing', 'garment', 'cloth', 'wear', 'wardrobe', 'headdress', 'shirt', 'loincloth', 'blanket']","['clothes', 'clothes ', 'to put on clothes']"
2,1,75,1_noise_noisy_sound_loud,"['noise', 'noisy', 'sound', 'loud', 'noisemaking', 'hearing', 'groaning', 'crying', 'ghosts', 'cry']","['noise of person crying; noise of blowing on something ', 'noise, sound', 'sound, noise ']"
3,2,61,2_falling_fall_stand_falls,"['falling', 'fall', 'stand', 'falls', 'standing', 'fallen', 'bracing', 'climbing', 'leaning', 'rise']","['to fall down from standing position, fall over', 'to make to fall over', 'to make to fall down ']"
4,3,55,3_rice_grains_grain_corn,"['rice', 'grains', 'grain', 'corn', 'cooked', 'dish', 'boiled', 'vegetables', 'sand', 'plant']","['cooked rice', 'cooked rice', 'type of rice']"
5,4,52,4_fire_flame_burning_light,"['fire', 'flame', 'burning', 'light', 'lighting', 'torch', 'candle', 'firecracker', 'burn', 'burned']","['to put out light or fire ', 'to light a fire ', 'to light a fire']"
6,5,51,5_doing_continue_continually_keep,"['doing', 'continue', 'continually', 'keep', 'about', 'finish', 'running', 'stopped', 'making', 'going']","['to keep on doing ', 'to keep on doing', 'to keep on doing']"
7,6,50,6_fish_fishing_catfish_gills,"['fish', 'fishing', 'catfish', 'gills', 'lure', 'eel', 'freshwater', 'flounder', 'shrimp', 'pond']","['type of fish', 'type of fish', 'fish']"
8,7,48,7_quiet_silent_quietly_talking,"['quiet', 'silent', 'quietly', 'talking', 'noise', 'noisy', 'yelling', 'whisper', 'conversation', 'talk']","['to be quiet t', 'to be quiet', 'to speak, talk ']"
9,8,48,8_praise_worship_to_pleasant,"['praise', 'worship', 'to', 'pleasant', 'glory', 'greet', 'trustworthy', 'salute', 'thoughtful', 'helpful']","['to praise ', 'to praise, be amazed at', 'to praise']"
10,9,47,9_bamboo_wood_leaves_plant,"['bamboo', 'wood', 'leaves', 'plant', 'mat', 'flute', 'mats', 'woven', 'rubberlike', 'type']","['type of bamboo', 'a type of bamboo', 'type of bamboo']"
11,10,46,10_this_these_that_those,"['this', 'these', 'that', 'those', 'perhaps', 'maybe', 'there', 'here', 'thats', 'or']","['perhaps, maybe this, maybe that ', 'maybe this, maybe that', 'like this']"
