,Topic,Count,Name,Representation,Representative_Docs
0,-1,1252,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']"
1,0,75,0_noise_sound_loud_crying,"['noise', 'sound', 'loud', 'crying', 'hitting', 'drum', 'something', 'falling', 'of', 'blowing']","['noise of person crying; noise of blowing on something ', 'sound, noise ', 'noise, sound']"
2,1,64,1_bird_birds_wings_rooster,"['bird', 'birds', 'wings', 'rooster', 'duck', 'nest', 'hen', 'pigeon', 'chickens', 'describe']","['a type of bird', 'bird', 'bird']"
3,2,63,2_more_enough_completely_all,"['more', 'enough', 'completely', 'all', 'much', 'only', 'many', 'kind', 'one', 'five']","['the more... the more', 'all, no more', 'no more, enough']"
4,3,59,3_this_maybe_like_even,"['this', 'maybe', 'like', 'even', 'now', 'therefore', 'so', 'also', 'probably', 'but']","['perhaps, maybe this, maybe that ', 'like this', 'maybe this, maybe that']"
5,4,56,4_fall_down_jump_stand,"['fall', 'down', 'jump', 'stand', 'lean', 'upon', 'falling', 'over', 'up', 'quickly']","['to fall down from standing position, fall over', 'to make to fall over', 'to make to fall down ']"
6,5,55,5_quiet_speak_talk_yell,"['quiet', 'speak', 'talk', 'yell', 'hear', 'talking', 'sing', 'laugh', 'low', 'mumble']","['to be quiet t', 'to be quiet', 'to speak, talk ']"
7,6,55,6_rice_husked_cooked_grain,"['rice', 'husked', 'cooked', 'grain', 'grains', 'unhusked', 'pound', 'harvest', 'field', 'pounding']","['cooked rice', 'cooked rice', 'type of rice']"
8,7,54,7_fire_light_ashes_smoke,"['fire', 'light', 'ashes', 'smoke', 'bright', 'coals', 'shine', 'lighting', 'burn', 'charcoal']","['to put out light or fire ', 'to light a fire ', 'to light a fire']"
9,8,47,8_family_younger_mother_women,"['family', 'younger', 'mother', 'women', 'brother', 'father', 'daughter', 'older', 'children', 'child']","[""father's or mother's elder brother "", 'an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'younger brother of father or mother']"
10,9,47,9_bamboo_tube_xylophone_tall,"['bamboo', 'tube', 'xylophone', 'tall', 'type', 'leader', 'sprouts', 'slender', 'system', 'woven']","['a type of bamboo', 'type of bamboo', 'type of bamboo']"
11,10,44,10_live_go_long_die,"['live', 'go', 'long', 'die', 'somewhere', 'away', 'defeated', 'detour', 'escape', 'home']","['to live', 'to live long', 'to escape, flee, go away']"
12,11,43,11_think_forget_recognize_understand,"['think', 'forget', 'recognize', 'understand', 'mistakenly', 'test', 'guess', 'know', 'try', 'ask']","['to think mistakenly ', 'to suppose, think, think mistakenly', 'to think']"
13,12,42,12_fish_catch_net_rod,"['fish', 'catch', 'net', 'rod', 'shrimp', 'fishing', 'string', 'hunt', 'torch', 'line']","['a type of fish', 'type of fish', 'fish']"
14,13,41,13_clothes_pretty_skirt_blanket,"['clothes', 'pretty', 'skirt', 'blanket', 'cloth', 'loincloth', 'clothing', 'trousers', 'waist', 'paper']","['to put on clothes', 'clothes', 'clothes ']"
