Keys,Definitions,Max_Probability_Label,Max_Probability,Second_Max_Probability_Label,Second_Max_Probability
a,final particle,language,0.5863882899284363,water,0.0987842381000518
abĕn,"trousers, skirt",human activity,0.6342308521270752,language,0.2017797231674194
abĕn ao,clothes,human activity,0.7061339020729065,animals activity,0.0736677944660186
"abêk, bongai abêk",person who laughs easily,human activity,0.8744924068450928,language,0.0478783845901489
abŏu,edible snail,animals activity,0.6381662487983704,animals,0.3276790082454681
abơk-abak,delirious ,language,0.3158209919929504,human activity,0.2728350758552551
achăng ,to set free,human activity,0.3702624142169952,language,0.2263588011264801
achīt,to prepare wood for lighting fire,human activity,0.9346132874488832,animals activity,0.02899781614542
achỗ,"a bundle of wood, rice",human activity,0.6867774724960327,animals activity,0.1797912418842315
achỡ,"mock, scorn",language,0.5013137459754944,human activity,0.2344876825809478
achỡt,"to stop, prevent ",language,0.5411537289619446,human activity,0.23319673538208
achŭt,to prepare wood for lighting fire,human activity,0.9346132874488832,animals activity,0.02899781614542
adar,slowly,human activity,0.4361059069633484,animals activity,0.1479811072349548
adra,drying platform over fire,human activity,0.5538200736045837,language,0.1190289035439491
adrang,chicken coop,animals,0.5417423844337463,animals activity,0.4324986338615417
adrch,"seed rice, ancestral line",plants,0.9106819033622742,human activity,0.0278920978307724
adreng,"fry, cook without water",human activity,0.6684401631355286,water,0.1316221356391906
adrih,"alive (plant life), raw, unripe",plants,0.9665619134902954,animals activity,0.013077225536108
adrin,"to strive, persevere",human activity,0.7588871121406555,language,0.1272978633642196
adrin-adrai,to strive even though not expected to,human activity,0.7619686722755432,animals activity,0.0783687531948089
adro,"widow, widower; cicada ",animals activity,0.8212637901306152,language,0.1083590164780616
adroch,edible grass-like leaf,plants,0.7192196249961853,animals activity,0.1075010001659393
adrok,the skin that a snake sheds,animals activity,0.6474388837814331,animals,0.3403095006942749
adrol,"before, in front of, first",language,0.5911768674850464,human activity,0.184755727648735
adron,animal shed,animals,0.6391372084617615,animals activity,0.3317264020442962
adrŏ,"to wiggle, squirm, shake ",human activity,0.7772031426429749,animals activity,0.1513586044311523
adrŏ tơdrenh,many objects shaking,human activity,0.445536732673645,animals activity,0.1299643218517303
"adrŏk, kưt adrŏk",toad,animals activity,0.7859516739845276,animals,0.1892415881156921
adrỗ,alone,human activity,0.2313247621059417,animals activity,0.1920488476753235
adrŏm,evening,human activity,0.4018337726593017,weather,0.121053509414196
adruh,"young unmarried lady, girl",human activity,0.6820431351661682,language,0.193756029009819
adruh tơdăm,young people (girls and boys),human activity,0.9231402277946472,language,0.0255754441022872
adrŭ,to shake in container,human activity,0.7152988910675049,animals activity,0.079405277967453
agăm,can not marry each other because related,human activity,0.568118155002594,animals activity,0.119571067392826
agor,"shinny up tree, cross water on rope",human activity,0.4081020951271057,animals activity,0.2408849596977234
agŏu,to meet together,human activity,0.7526296973228455,language,0.0704322308301925
