,Keys,Definitions,0,1
0,a,final particle,12.181383,4.690489
1,abĕn,"trousers, skirt",8.493652,9.843183
2,abĕn ao,clothes,8.273893,10.3263645
3,"abêk, bongai abêk",person who laughs easily,7.526694,5.442858
4,abŏu,edible snail,9.435993,12.966435
5,abơk-abak,delirious ,10.149662,6.426961
6,achăng ,to set free,9.350355,6.9203353
7,achīt,to prepare wood for lighting fire,6.0015697,10.693575
8,achỗ,"a bundle of wood, rice",10.515835,14.910949
9,achỡ,"mock, scorn",8.837458,7.122472
10,achỡt,"to stop, prevent ",8.4213705,4.789974
11,achŭt,to prepare wood for lighting fire,6.0308943,10.691653
12,adar,slowly,7.8180823,7.617495
13,adra,drying platform over fire,6.345344,10.692822
14,adrang,chicken coop,12.768738,9.418549
15,adrch,"seed rice, ancestral line",10.543501,14.929367
16,adreng,"fry, cook without water",6.892485,10.807575
17,adrih,"alive (plant life), raw, unripe",9.467676,12.261798
18,adrin,"to strive, persevere",8.115454,6.348497
19,adrin-adrai,to strive even though not expected to,8.034961,6.375144
20,adro,"widow, widower; cicada ",11.223892,6.4281163
21,adroch,edible grass-like leaf,9.491843,12.176631
22,adrok,the skin that a snake sheds,10.623817,11.459097
23,adrol,"before, in front of, first",8.380676,6.896755
24,adron,animal shed,11.327479,10.31051
25,adrŏ,"to wiggle, squirm, shake ",5.9801793,4.872346
26,adrŏ tơdrenh,many objects shaking,5.949612,4.8499904
27,"adrŏk, kưt adrŏk",toad,10.544971,12.447701
28,adrỗ,alone,9.259917,4.9949694
29,adrŏm,evening,5.8953886,7.1930466
30,adruh,"young unmarried lady, girl",11.481273,6.680286
31,adruh tơdăm,young people (girls and boys),11.611962,7.0956135
32,adrŭ,to shake in container,5.9652796,4.878842
33,agăm,can not marry each other because related,11.252719,6.0337696
34,agor,"shinny up tree, cross water on rope",8.983044,11.983216
35,agŏu,to meet together,11.183227,5.3347964
36,aguăt,centipede ,10.558992,7.5371623
37,ah (no initial glottal) ,final question particle,12.164898,4.6867533
38,ahrei,"now, these days",5.8704977,6.876245
39,ai ,"lucky, fortunate, also meaning of strength, authority in some mystical sense",7.941894,5.8965387
40,"ai, măk ai","fault, responsibility",9.579847,6.5242968
41,măk ai kơ ih,it will be your fault,9.794963,6.323369
42,aĭ,to be equal,10.476412,6.0010133
43,aī,vocative in final position,11.331189,6.012629
44,ajar,a forest plant which has edible flowers,9.463937,12.244636
45,ak,crow,12.664525,9.399015
46,"akâu, akŏu",body,9.135456,8.611308
47,akap,mouse trap,8.392628,13.136049
48,akar,skin ,10.884776,11.374674
49,akăn ,wife ,11.262222,6.378454
50,ake ,horn (animal),11.230764,8.692867
51,akhan,"to tell, to teach",9.181381,6.413456
52,akhoi,prevent ,8.400963,4.772863
53,ako ,neck,9.607819,8.8228245
54,"akoh, akoh sut",honey-thick yellow stage,10.358137,12.46285
55,"akŏm, akŭm","to meet together, to gather things",11.135822,5.323928
56,akôih,"to shave, to scrape",9.740477,10.995035
57,akơn,pillow,10.392832,7.548807
58,akơn,to lean on,8.614641,8.346675
59,akơng,leaf stem and main vein running up middle of leaf ,9.338079,12.125115
60,ala ,"under, beneath ",9.175001,7.9591174
61,alah,ouch ,10.271528,6.7552323
62,alah,lazy,9.201737,7.043174
63,amăn,spend only a little,8.742162,6.338025
64,ameng,to sit in one place working away,8.802677,4.915888
65,amǐl,"glass, mirror",8.645417,11.18466
66,amǐk,continually ,7.987906,2.6534755
67,amră,peacock,12.6166115,9.664814
68,amrĕ,red pepper,6.0768256,9.712253
69,amrĕ nô,"type of red pepper, large and not so hot ",6.0780582,9.713244
70,amrĕl,words of someone insisting they can do something but they can't,8.21029,6.218003
